	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84
TRINITY_DN10023_c1_g1_i2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	2	0	2	2	0	0	1	0	1
TRINITY_DN100250_c0_g1_i1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
TRINITY_DN10027_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100281_c0_g1_i2	0	3	0	2	0	2	1	2	5	8	0	3	2	0	1	2	1	1	0	4	0	0	0	1	3	1	1	2	0	0	3	0	3	0	0	0	0	0	1	3	0	0	0	0	4	0	1
TRINITY_DN100298_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN10029_c0_g2_i17	0	48	19	23	0	10	56	47	44	119	40	34	11	6	8	2	1	3	4	8	10	7	6	6	19	25	70	28	44	5	4	5	6	0	7	1	1	3	8	76	4	4	0	7	11	0	5
TRINITY_DN10029_c0_g2_i9	0	1	0	0	0	0	3	1	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0
TRINITY_DN100301_c0_g1_i2	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1
TRINITY_DN10031_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
TRINITY_DN10033_c0_g1_i2	0	13	6	5	0	5	21	16	19	40	31	16	2	1	1	10	9	6	16	15	4	9	8	11	7	11	19	12	28	2	11	6	18	7	15	7	8	2	7	24	7	4	9	9	20	1	32
TRINITY_DN100358_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100360_c0_g1_i1	0	18	18	13	0	8	17	13	22	27	23	24	3	4	9	9	1	4	1	13	8	10	10	5	4	9	16	8	21	3	6	3	17	1	18	8	0	0	14	25	1	3	2	8	10	2	3
TRINITY_DN100361_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	1	2	2	0	0	0	0	0	0	0	1	3	0	7	2	0	0	1	0	1	1	1	0	3	1	0
TRINITY_DN100395_c0_g1_i2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN10039_c0_g1_i2	0	2	0	1	0	0	1	2	1	3	1	2	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	1	1	2	2	2	0	0	1	1	0	1	1	1
TRINITY_DN1003_c0_g1_i10	0	30	18	21	0	19	39	14	28	38	29	32	2	19	10	1	0	7	9	14	11	22	20	25	11	12	26	17	23	5	3	4	34	5	23	9	5	8	21	38	2	10	14	8	36	5	10
TRINITY_DN100409_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0
TRINITY_DN100415_c0_g1_i1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	1	0	2	0	0	3	0	0	1	1	0	0	0	0	0	0	1
TRINITY_DN100424_c0_g1_i1	0	0	1	0	0	3	4	2	3	6	1	7	1	1	3	0	4	0	0	2	2	1	2	3	0	2	9	4	4	1	2	0	1	0	5	3	1	0	2	3	0	1	2	0	4	0	2
TRINITY_DN10044_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100473_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100480_c0_g1_i1	0	25	12	20	0	2	31	6	8	7	4	200	37	18	11	1	0	6	3	3	8	12	14	12	7	6	1	8	4	9	0	63	152	30	17	13	10	11	17	14	0	3	6	23	72	31	17
TRINITY_DN10049_c0_g1_i1	0	1	0	0	0	0	4	1	2	12	3	0	0	4	3	0	4	7	8	1	9	3	1	9	0	0	2	0	5	0	7	2	6	1	4	2	2	0	1	2	3	4	2	2	4	0	1
TRINITY_DN100512_c0_g1_i2	0	5	2	1	0	0	10	5	4	14	4	4	2	3	0	1	3	1	1	1	1	3	4	1	0	10	5	3	9	0	2	3	6	1	3	4	1	6	2	9	2	1	1	6	4	1	2
TRINITY_DN100513_c0_g1_i2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100520_c0_g1_i1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100535_c0_g1_i1	0	0	0	0	0	0	2	0	3	0	2	0	1	3	4	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	1	7	4	1	1	3	0	0	2	0	1	1	2	1	2	0	1
TRINITY_DN100536_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100555_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TRINITY_DN100560_c0_g1_i1	0	11	7	4	0	4	20	11	20	35	18	7	1	1	1	0	0	0	1	1	1	1	1	2	6	3	19	7	11	0	0	0	0	0	3	0	0	0	2	21	3	0	0	0	1	0	1
TRINITY_DN10056_c0_g1_i3	0	2	0	0	0	1	5	1	3	5	1	2	0	2	4	2	0	0	1	2	0	2	3	3	1	1	3	4	2	0	3	0	9	0	1	8	5	1	5	3	4	1	3	2	5	3	2
TRINITY_DN100570_c0_g1_i1	0	25	21	17	0	17	22	25	22	29	15	31	7	4	6	3	4	0	1	12	4	2	3	4	9	7	21	15	11	3	2	1	8	5	4	10	3	2	10	25	2	0	9	5	8	5	2
TRINITY_DN100579_c0_g1_i2	0	16	6	0	0	5	7	6	9	21	14	3	2	0	0	0	2	3	0	2	2	0	2	3	7	5	16	3	8	0	4	0	8	0	4	1	0	1	5	14	2	1	3	0	7	0	1
TRINITY_DN1005_c0_g1_i4	0	44	24	18	0	20	46	38	45	77	39	31	9	13	13	0	0	11	11	11	3	19	12	17	28	18	46	23	34	4	3	5	17	8	18	10	8	15	29	48	2	15	10	5	9	0	8
TRINITY_DN100616_c0_g1_i1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	1	0	2	4	0	0	0	1	0	0
TRINITY_DN100624_c0_g1_i1	0	8	5	3	0	3	8	12	11	31	14	10	2	8	8	0	0	0	1	3	6	8	5	12	3	14	5	2	11	1	0	1	2	0	7	11	3	5	19	13	0	3	7	4	6	11	7
TRINITY_DN100627_c0_g1_i1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100637_c0_g1_i1	0	16	9	4	0	4	10	19	7	7	18	8	2	0	2	1	1	3	2	2	1	1	2	1	6	5	9	7	14	4	1	0	2	0	1	2	0	3	2	11	2	3	0	0	3	1	3
