"X1","X2"
4.09769582685645,5.43690253043042
4.113486044,10.044619350618
4.113486044,11.984309827807
4.113486044,10.150313072974
4.113486044,9.13214182212048
4.113486044,10.3692067010119
4.11348838018601,10.0662174336667
4.11574946819436,10.1572473535833
4.113486044,10.1584044005833
4.113486044,10.1584044005833
4.113486044,10.1584044005833
4.113486044,10.1584044005833
4.113486044,10.1584044005833
4.113486044,10.1584044005833
4.113486044,10.1584044005833
4.11231858434665,10.1584044005833
4.12863140737433,10.1584044005833
3.79476947613961,10.1584044005833
4.12885091821446,10.1584044005833
4.11390145426645,10.1584044005833
4.113930324706,10.1584044005833
4.1134647313807,10.1584044005833
4.11927652886872,10.1584044005833
4.06773229898161,10.1584044005833
4.16123313528578,10.1584044005833
4.68264123830542,10.1584044005833
4.05158158817887,10.1584044005833
4.10490440893483,10.1541247881884
4.19560203515862,9.87928344547934
4.10727081478248,10.3857794216629
3.46909888116551,9.31849902121192
3.83980255834555,5.55423371828521
4.16262119738933,9.36648729929747
4.08636894284725,9.10334717751562
4.10272921370727,9.13636477185
3.98944890347917,9.13636477185
4.41699898802923,9.18233385691176
4.18241477913891,8.98646282079545
3.58354530216814,9.69691892677717
4.74998685579542,10.1979950040317
6.2499395153284,6.52622408172059
4.1216967508114,8.82920289815672
4.54183368559909,10.13371574448
5.38001597484654,9.9078710413125
4.61644626432769,9.6529391808859
3.7547880202649,9.01989351481513
5.28503449904123,9.99956468335556
